Date,Price,Open,High,Low,Vol.,Change %,Daily_Return,Volatility_30d
2016-01-01,33228.95,32841.49,33256.85,32828.36,73480000.0,1.26,,
2016-01-04,33009.13,33265.58,33304.4,32968.63,68940000.0,-0.66,-0.6615315861620674,
2016-01-05,32983.47,32804.32,33027.33,32515.05,99320000.0,-0.08,-0.07773606877853334,
2016-01-06,32968.26,33036.63,33123.53,32930.37,61270000.0,-0.05,-0.04611400801673993,
2016-01-07,32682.5,32964.65,32964.65,32652.39,79280000.0,-0.87,-0.866773072039595,
2016-01-08,32534.85,32716.16,32775.4,32476.63,71870000.0,-0.45,-0.4517708253652608,
2016-01-11,32320.05,32535.57,32555.21,32290.4,51900000.0,-0.66,-0.6602151231679287,
2016-01-12,32265.65,32275.02,32330.19,32005.46,77890000.0,-0.17,-0.16831657129242616,
2016-01-13,32154.17,32323.39,32484.31,32059.54,73200000.0,-0.35,-0.34550675408678844,
2016-01-14,31441.02,32093.21,32093.21,31364.13,120380000.0,-2.22,-2.2179082837467057,
2016-01-15,31001.49,31433.49,31637.22,30887.74,88230000.0,-1.4,-1.3979508298394894,
2016-01-18,30628.4,30901.0,30901.0,29785.0,142730000.0,-1.2,-1.2034582853920894,
2016-01-19,31092.61,30642.82,31136.3,30549.86,98640000.0,1.52,1.5156194904075937,
2016-01-20,30766.01,31079.31,31079.31,30689.84,76450000.0,-1.05,-1.0504103708244616,
2016-01-21,30751.8,30808.38,31029.17,30705.53,93180000.0,-0.05,-0.0461873346592534,
2016-01-22,30949.02,30771.42,30998.3,30771.42,74760000.0,0.64,0.6413283124890201,
2016-01-25,31065.13,31089.65,31322.59,30978.4,72130000.0,0.38,0.3751653525701393,
2016-01-26,31074.38,30962.95,31140.11,30886.29,72900000.0,0.03,0.029776150944815782,
2016-01-27,31101.38,31146.57,31386.21,31065.72,78490000.0,0.09,0.08688829833451983,
2016-01-28,31193.73,31119.17,31247.85,31052.13,52220000.0,0.3,0.2969321618526255,
