Date,Price,Open,High,Low,Vol.,Change %
2/20/2026,"173,169.70","172,716.16","174,148.33","169,592.53",245.48M,0.58%
2/19/2026,"172,170.30","179,279.73","179,279.73","171,647.34",229.01M,-3.74%
2/18/2026,"178,853.09","174,328.61","178,974.17","174,328.61",424.99M,3.29%
2/17/2026,"173,150.42","174,783.16","176,131.34","171,693.41",424.96M,-0.75%
2/16/2026,"174,453.94","179,926.88","179,969.23","173,574.27",378.71M,-2.87%
2/13/2026,"179,603.73","180,577.78","180,832.66","178,237.14",379.80M,-0.50%
2/12/2026,"180,512.66","182,700.31","182,757.09","178,725.25",448.22M,-1.39%
2/11/2026,"183,049.81","182,739.72","183,801.70","182,054.66",350.08M,0.49%
2/10/2026,"182,153.55","183,101.94","183,216.67","181,499.30",636.10M,-0.10%
2/9/2026,"182,340.38","185,027.17","185,650.59","180,992.80",597.72M,-0.97%
2/6/2026,"184,129.58","188,023.59","188,036.31","183,547.30",798.69M,-1.97%
2/4/2026,"187,832.08","187,193.30","188,312.20","187,018.69",767.51M,0.50%
2/3/2026,"186,900.73","185,555.89","187,518.80","185,545.94",390.20M,1.00%
2/2/2026,"185,057.83","184,441.94","185,611.73","182,792.41",215.80M,0.48%
1/30/2026,"184,174.48","183,166.67","186,619.52","182,347.48",344.20M,1.01%
1/29/2026,"182,338.13","188,686.06","188,923.41","181,961.16",413.82M,-3.21%
1/28/2026,"188,380.39","188,901.75","189,183.88","188,179.52",423.53M,0.09%
1/27/2026,"188,202.86","188,775.66","189,521.31","187,538.23",341.59M,-0.20%
1/26/2026,"188,587.66","189,788.69","191,032.73","188,268.39",449.79M,-0.31%
1/23/2026,"189,166.83","187,926.50","189,566.64","186,637.56",407.93M,0.79%
1/22/2026,"187,688.16","187,391.55","188,106.81","186,825.63",462.47M,0.35%
1/21/2026,"187,033.27","189,095.63","189,523.44","186,626.84",703.36M,-0.84%
1/20/2026,"188,621.78","188,579.17","188,958.38","187,192.02",454.30M,0.46%
