Date,Price,Open,High,Low,Vol.,Change %,Log_Return,SPY_Log_Return,EEM_Log_Return,VIX_Level,VIX_Change,Days_Since_Last_Trade,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window
3/9/2021,44222.91,"45,051.06","45,129.55","43,946.30",,-1.84%,-0.018553311,-0.004991244,-0.027306104,25.46999931,0.809999466,1,0,0,0
3/10/2021,43691.68,"44,222.91","44,424.04","43,620.84",,-1.20%,-0.012085286,0.014176481,0.021717433,24.03000069,-1.439998627,1,0,0,0
3/11/2021,42779.76,"43,691.68","43,891.00","42,689.42",,-2.09%,-0.021092601,0.006205241,-0.004493438,22.55999947,-1.470001221,1,0,0,0
3/12/2021,43788.08,"42,779.76","43,986.18","42,779.76",,2.36%,0.023296541,0.010088219,0.031038834,21.90999985,-0.649999619,1,0,0,0
3/15/2021,44766.59,"43,788.08","44,839.19","43,788.08",,2.23%,0.022100468,0.001345652,-0.017988675,20.69000053,-1.219999313,3,1,0,0
3/16/2021,44857.06,"44,766.59","44,910.93","44,545.43",,0.20%,0.002018887,0.005946083,0.002404774,20.03000069,-0.659999847,1,0,0,0
3/17/2021,45450.31,"44,857.06","45,540.63","44,857.06",,1.32%,0.013138652,-0.001262193,0.004240832,19.79000092,-0.239999771,1,0,0,0
3/18/2021,44724.09,"45,450.31","45,612.95","44,641.49",,-1.60%,-0.016107359,0.003403983,0.00128716,19.22999954,-0.560001373,1,0,0,0
3/19/2021,44901.31,"44,724.09","45,172.33","44,393.28",,0.40%,0.003954688,-0.014656257,-0.018546441,21.57999992,2.350000381,1,0,0,0
3/22/2021,45407.33,"44,901.31","45,465.13","44,735.59",,1.13%,0.011206575,-0.001852206,0.01227928,20.95000076,-0.629999161,3,1,0,0
3/24/2021,45544.19,"45,407.33","45,593.61","45,258.99",,0.30%,0.003009518,0.007953483,-0.002963183,18.87999916,-2.070001602,2,1,0,0
3/25/2021,45726.16,"45,544.20","46,000.11","45,544.20",,0.40%,0.0039875,-0.005096245,-0.0231433,21.20000076,0.900001526,1,0,0,0
